Pudhog, the Warrior
Adrid, the Barbarian
Noarvair, the Life Giver
Qedhaenth, the Hungry
Nussus, the Puny
Torseig, the Youngling
Ziervun, the Victorious
Xurmephan, the Dark One
Eidrulul, Lord of the Red
Ayrmaphuth, the Tyrant
Cildrian, Eater of All
Zurviolth, Champion of the Brown
Taildrass, the Warm
Iagienth, the Loud
Bayru, Champion of the Blue
Biorliolth, Eater of Bunnies
Iovroass, Protector of the Sky
Bairreilenth, Gentle Mind
Oannairois, Protector of Creatures
Giameiloig, the Careful
Ivroa, the Powerful
Aizzelth, Lord of the White
Vaevna, the Life Giver
Cupho, the Redeemer
Xiapail, Braveheart
Avrunth, the Stubborn
Aivrud, the Stubborn
Goakieleith, the Black
Maizzynulth, Redeemer of Men
Aghointayth, Champion of the Red
Qoron, Protector of the Forest
Eldroi, the Loud
Pytog, Protector of Creatures
Runuss, the Warm
Qiekur, the Quiet
Dazzenth, Gentleheart
Nondre, the Chosen
Elbynin, the Black
Ivrarrur, Champion of the Yellow
Ziarsiadud, the Squeeler
Qanil, the Fierce
Shiko, Champion of the Blue
Erlynth, the Puny
Sopyrth, Protector of the Forest
Caypo, Protector of the Sky
Zodhoanth, the Gifted
Rivirth, the Careful
Muvnissenth, the Quiet
Andrarreiss, Eater of All
Undrossal, Eater of All
